"","coiid","nationalmusym","dmuiid","musym","muname","mustatus","compname","comppct_r","slope_l","slope_h","drainagecl","ecosite_id","taxclname","pmkind","pmorigin","landform_string","modaldepthcl","drange"
"142",2045837,"2r1bw",615229,"4200","Inks-Angelscreek complex, 3 to 15 percent slopes","provisional","Angelscreek",20,3,15,"well","F018XI207CA","Loamy-skeletal, isotic, thermic Pachic Ultic Argixerolls","colluvium & residuum","conglomerate, unspecified","saddle & ridge & lahar","VD","None"
"141",2045835,"2r1bw",615229,"4200","Inks-Angelscreek complex, 3 to 15 percent slopes","provisional","Pentz",10,3,15,"well","R018XI107CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","lahar","S","VS-S"
"392",2528887,"2r1bw",615229,"4200","Inks-Angelscreek complex, 3 to 15 percent slopes","provisional","Rock outcrop",3,3,15,NA,NA,NA,NA,NA,"lahar","NA","None"
"144",2045839,"2r1bx",615230,"4201","Angelscreek-Pentz complex, 15 to 30 percent slopes","provisional","Angelscreek",69,15,30,"well","F018XI207CA","Loamy-skeletal, isotic, thermic Pachic Ultic Argixerolls","colluvium & residuum","conglomerate, unspecified","lahar","VD","None"
"145",2045840,"2r1bx",615230,"4201","Angelscreek-Pentz complex, 15 to 30 percent slopes","provisional","Pentz",15,15,30,"well","R018XI107CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","lahar","VS","VS-S"
"147",2045842,"2r1bx",615230,"4201","Angelscreek-Pentz complex, 15 to 30 percent slopes","provisional","Inks",5,15,30,"well","R018XI107CA","Loamy-skeletal, mixed, superactive, thermic Lithic Argixerolls","residuum & residuum","conglomerate, unspecified & tuff breccia","lahar","VS","VS-S"
"146",2045841,"2r1bx",615230,"4201","Angelscreek-Pentz complex, 15 to 30 percent slopes","provisional","Pachic Ultic Argixerolls",5,15,30,"well","F018XI207CA","Fine-loamy, thermic Pachic Ultic Argixerolls","colluvium & residuum","volcanic, unspecified","lahar","D","D"
"393",2528888,"2r1bx",615230,"4201","Angelscreek-Pentz complex, 15 to 30 percent slopes","provisional","Rock outcrop",5,15,30,NA,NA,NA,NA,NA,"lahar","NA","None"
"246",2482888,"2r1bx",615230,"4201","Angelscreek-Pentz complex, 15 to 30 percent slopes","provisional","Mined land",1,5,45,NA,NA,NA,NA,NA,"lahar","NA","None"
"148",2045843,"2r1by",615231,"4202","Angelscreek-Pentz complex, 30 to 60 percent slopes","provisional","Angelscreek",65,30,60,"well","F018XI207CA","Loamy-skeletal, isotic, thermic Pachic Ultic Argixerolls","colluvium & residuum","conglomerate, unspecified","lahar","VD","None"
"149",2045845,"2r1by",615231,"4202","Angelscreek-Pentz complex, 30 to 60 percent slopes","provisional","Pentz",15,30,60,"well","R018XI107CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","lahar","VS","VS-S"
"395",2528890,"2r1by",615231,"4202","Angelscreek-Pentz complex, 30 to 60 percent slopes","provisional","Rock outcrop",10,30,60,NA,NA,NA,NA,NA,"lahar","NA","None"
"394",2528889,"2r1by",615231,"4202","Angelscreek-Pentz complex, 30 to 60 percent slopes","provisional","Inks",5,30,60,"well","R018XI107CA","Loamy-skeletal, mixed, superactive, thermic Lithic Argixerolls","residuum & residuum","tuff breccia & conglomerate, unspecified","lahar","S","VS-S"
"396",2528891,"2r1by",615231,"4202","Angelscreek-Pentz complex, 30 to 60 percent slopes","provisional","Pachic Ultic Argixerolls",5,30,60,"well","F018XI207CA","Fine-loamy, thermic Pachic Ultic Argixerolls","colluvium & residuum","volcanic, unspecified","lahar","VD","None"
"483",2630207,"2x8l9",793522,"451","Pentz-Peters association, 2 to 15 percent slopes","provisional","Pentz",60,5,15,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"474",2630191,"2x8l9",793522,"451","Pentz-Peters association, 2 to 15 percent slopes","provisional","Peters",25,2,8,"well","R018XI164CA","Clayey, smectitic, thermic, shallow Typic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"504",2630247,"2x8l9",793522,"451","Pentz-Peters association, 2 to 15 percent slopes","provisional","Miltonhills",5,8,30,"well","F018XI200CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","eroded fan remnant sideslope","MD","MD"
"482",2630206,"2x8l9",793522,"451","Pentz-Peters association, 2 to 15 percent slopes","provisional","Redding",5,2,5,"moderately well","R018XI163CA","Fine, mixed, active, thermic Abruptic Durixeralfs","alluvium","NA","fan remnant","MD","S-MD"
"473",2630190,"2x8l9",793522,"451","Pentz-Peters association, 2 to 15 percent slopes","provisional","Pentz",3,8,30,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"481",2630205,"2x8l9",793522,"451","Pentz-Peters association, 2 to 15 percent slopes","provisional","Archerdale",1,0,2,"well","R018XI999CA","Fine, mixed, superactive, thermic Pachic Haploxerolls","alluvium","NA","stream terrace & drainageway","VD","None"
"475",2630196,"2x8l9",793522,"451","Pentz-Peters association, 2 to 15 percent slopes","provisional","Rock outcrop",1,2,15,NA,NA,NA,NA,NA,"hill","NA","None"
"489",2630215,"2x8lb",793521,"475","Pentz-Peters association, 2 to 50 percent slopes","provisional","Pentz",60,15,50,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"485",2630209,"2x8lb",793521,"475","Pentz-Peters association, 2 to 50 percent slopes","provisional","Peters",25,2,8,"well","R018XI164CA","Clayey, smectitic, thermic, shallow Typic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"503",2630246,"2x8lb",793521,"475","Pentz-Peters association, 2 to 50 percent slopes","provisional","Miltonhills",5,15,50,"well","F018XI200CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","eroded fan remnant sideslope","MD","MD"
"488",2630214,"2x8lb",793521,"475","Pentz-Peters association, 2 to 50 percent slopes","provisional","Redding",5,2,5,"moderately well","R018XI163CA","Fine, mixed, active, thermic Abruptic Durixeralfs","alluvium","NA","fan remnant","MD","S-MD"
"487",2630213,"2x8lb",793521,"475","Pentz-Peters association, 2 to 50 percent slopes","provisional","Archerdale",2,0,2,"well","R018XI999CA","Fine, mixed, superactive, thermic Pachic Haploxerolls","alluvium","NA","stream terrace & drainageway","VD","None"
"484",2630208,"2x8lb",793521,"475","Pentz-Peters association, 2 to 50 percent slopes","provisional","Pentz",2,5,15,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"486",2630211,"2x8lb",793521,"475","Pentz-Peters association, 2 to 50 percent slopes","provisional","Rock outcrop",1,2,15,NA,NA,NA,NA,NA,"hill","NA","None"
"175",2073965,"2rx24",635381,"5012","Amador sandy loam, 2 to 15 percent slopes","provisional","Amador",76,2,15,"well","R018XI107CA","Loamy, mixed, superactive, thermic, shallow Typic Haploxerepts","residuum","tuff, acidic","low hill","S","S"
"181",2074011,"2rx24",635381,"5012","Amador sandy loam, 2 to 15 percent slopes","provisional","Gillender",9,2,15,"moderately well","R018XI163CA","Loamy, mixed, active, acid, thermic, shallow Typic Xerorthents","residuum","tuff, acidic","swale & low hill","VS","VS"
"174",2073964,"2rx24",635381,"5012","Amador sandy loam, 2 to 15 percent slopes","provisional","Miltonhills",5,1,5,"well","F018XI207CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","hill","MD","MD"
"434",2528968,"2rx24",635381,"5012","Amador sandy loam, 2 to 15 percent slopes","provisional","Pardee",5,2,15,"well","F018XI200CA","Loamy-skeletal, mixed, superactive, thermic Lithic Mollic Haploxeralfs","alluvium & residuum & residuum","NA & conglomerate, unspecified & tuff, unspecified","ridge & eroded fan remnant","S","S"
"247",2482891,"2rx24",635381,"5012","Amador sandy loam, 2 to 15 percent slopes","provisional","Mined land",2,1,10,NA,NA,NA,NA,NA,"low hill","NA","None"
"433",2528967,"2rx24",635381,"5012","Amador sandy loam, 2 to 15 percent slopes","provisional","Redding",2,0,8,"moderately well","F018XI200CA","Fine, mixed, active, thermic Abruptic Durixeralfs","alluvium & alluvium & alluvium","igneous, metamorphic and sedimentary","eroded fan remnant","MD","S-MD"
"176",2073966,"2rx24",635381,"5012","Amador sandy loam, 2 to 15 percent slopes","provisional","Rock outcrop",1,2,15,NA,NA,NA,NA,NA,"low hill","NA","None"
"427",2528960,"2rx18",649674,"5013","Miltonhills-Amador complex, 15 to 45 percent slopes","provisional","Miltonhills",50,15,45,"well","F018XI207CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","hill","MD","MD"
"420",2528931,"2rx18",649674,"5013","Miltonhills-Amador complex, 15 to 45 percent slopes","provisional","Amador",30,15,45,"well","R018XI107CA","Loamy, mixed, superactive, thermic, shallow Typic Haploxerepts","residuum","tuff, acidic","hill","S","S"
"428",2528961,"2rx18",649674,"5013","Miltonhills-Amador complex, 15 to 45 percent slopes","provisional","Ultic Argixerolls",10,15,45,"well","F018XI207CA","Fine-loamy, mixed, active, thermic Ultic Argixerolls","colluvium & colluvium & residuum & residuum","tuff, unspecified & tuff breccia","hill","MD","MD-D"
"432",2528966,"2rx18",649674,"5013","Miltonhills-Amador complex, 15 to 45 percent slopes","provisional","Pardee",5,15,40,"well","F018XI200CA","Loamy-skeletal, mixed, superactive, thermic, shallow Lithic Mollic Haploxeralfs","alluvium & residuum & residuum","NA & conglomerate, unspecified & tuff, unspecified","hill","S","S"
"170",2073737,"2rx18",649674,"5013","Miltonhills-Amador complex, 15 to 45 percent slopes","provisional","Rock outcrop",5,15,45,NA,NA,NA,NA,NA,"hill","NA","None"
"203",2278330,"2t8zh",706223,"5015","Ospital-Jennylind complex, 2 to 15 percent slopes","provisional","Ospital",60,2,15,"moderately well","R018XI164CA","Loamy, mixed, active, acid, thermic Lithic Xerorthents","residuum","tuff, acidic","erosion remnant","VS","VS"
"201",2278328,"2t8zh",706223,"5015","Ospital-Jennylind complex, 2 to 15 percent slopes","provisional","Jennylind",30,2,15,"well","R018XI163CA","Loamy, mixed, superactive, thermic Lithic Haploxerepts","residuum","tuff, acidic","erosion remnant","MD","S"
"569",2635152,"2t8zh",706223,"5015","Ospital-Jennylind complex, 2 to 15 percent slopes","provisional","Pardee",5,2,15,"well","R018XI107CA","Loamy-skeletal, mixed, superactive, thermic Lithic Mollic Haploxeralfs","alluvium & residuum & residuum","NA & conglomerate, unspecified & tuff, unspecified","ridge & eroded fan remnant","S","S"
"202",2278329,"2t8zh",706223,"5015","Ospital-Jennylind complex, 2 to 15 percent slopes","provisional","Rock outcrop",5,2,15,NA,NA,NA,NA,NA,"erosion remnant","NA","None"
"424",2528955,"2x4d1",798391,"5016","Jennylind-Rock outcrop complex, 10 to 45 percent slopes","provisional","Jennylind",65,10,45,"well","R022AI102CA","Loamy, mixed, superactive, thermic Lithic Haploxerepts","residuum & colluvium","tuff, acidic","low hill","S","S"
"425",2528956,"2x4d1",798391,"5016","Jennylind-Rock outcrop complex, 10 to 45 percent slopes","provisional","Rock outcrop",20,10,60,NA,NA,NA,NA,NA,"free face & low hill","NA","None"
"426",2528959,"2x4d1",798391,"5016","Jennylind-Rock outcrop complex, 10 to 45 percent slopes","provisional","Ospital",10,2,15,"moderately well","R018XI101CA","Loamy, mixed, active, acid, thermic Lithic Xerorthents","residuum","tuff, acidic","ridge & low hill","VS","VS"
"435",2528969,"2x4d1",798391,"5016","Jennylind-Rock outcrop complex, 10 to 45 percent slopes","provisional","Miltonhills",5,10,45,"well","F018XI202CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","low hill","MD","MD"
"171",2073945,"2r6fs",589722,"5051","Fuches-Lithic Xerorthents complex, 3 to 15 percent slopes","provisional","Fuches",70,3,15,"well","R022AI102CA","Loamy, isotic, mesic Lithic Dystroxerepts","colluvium & residuum","rhyolite","hill","S","S"
"407",2528911,"2r6fs",589722,"5051","Fuches-Lithic Xerorthents complex, 3 to 15 percent slopes","provisional","Lithic Xerorthents",20,3,15,"excessively","R022AI102CA","Loamy-skeletal, mixed, superactive, acid, mesic Lithic Xerorthents","colluvium & residuum","rhyolite","hill","VS","VS"
"410",2528914,"2r6fs",589722,"5051","Fuches-Lithic Xerorthents complex, 3 to 15 percent slopes","provisional","Rock outcrop",5,3,15,NA,NA,NA,NA,NA,"hill","NA","None"
"414",2528921,"2r6fs",589722,"5051","Fuches-Lithic Xerorthents complex, 3 to 15 percent slopes","provisional","Typic Haploxerults",5,1,15,"somewhat poorly","R022AI103CA","Loamy-skeletal, mixed, active, mesic Typic Haploxerults","alluvium & residuum","NA & conglomerate, unspecified","stream terrace","D","MD-D"
"409",2528913,"2r6fv",589724,"5053","Fuches-Lithic Xerorthents complex, 15 to 50 percent slopes","provisional","Fuches",65,15,50,"well","R022AI102CA","Loamy, isotic, mesic Lithic Dystroxerepts","colluvium & residuum","rhyolite","hill","S","S"
"408",2528912,"2r6fv",589724,"5053","Fuches-Lithic Xerorthents complex, 15 to 50 percent slopes","provisional","Lithic Xerorthents",18,15,50,"excessively","R022AI102CA","Loamy-skeletal, mixed, superactive, acid, mesic Lithic Xerorthents","colluvium & residuum","rhyolite","hill","VS","VS"
"412",2528919,"2r6fv",589724,"5053","Fuches-Lithic Xerorthents complex, 15 to 50 percent slopes","provisional","Swissranch",10,30,60,"well","R022AI103CA","Fine-loamy, isotic, mesic Vitrandic Dystroxerepts","colluvium & residuum","rhyolite","hill","VD","VD"
"411",2528915,"2r6fv",589724,"5053","Fuches-Lithic Xerorthents complex, 15 to 50 percent slopes","provisional","Rock outcrop",5,15,50,NA,NA,NA,NA,NA,"hill","NA","None"
"413",2528920,"2r6fv",589724,"5053","Fuches-Lithic Xerorthents complex, 15 to 50 percent slopes","provisional","Typic Haploxerults",2,15,50,"well","R022AI103CA","Loamy-skeletal, mixed, active, mesic Typic Haploxerults","colluvium & residuum","conglomerate, unspecified","valley-floor remnant","MD","MD-D"
"415",2528922,"2r6fx",589726,"5057","Supan loam, 5 to 30 percent slopes","provisional","Supan",80,5,30,"well","R022AI103CA","Fine-loamy, mixed, superactive, mesic Pachic Ultic Argixerolls","colluvium & residuum & colluvium & residuum","tuff breccia & conglomerate, unspecified","lahar","D","MD-D"
"416",2528923,"2r6fx",589726,"5057","Supan loam, 5 to 30 percent slopes","provisional","Pachic Argixerolls",10,3,15,"well","R022AI103CA","Fine-loamy, mixed, superactive, mesic Pachic Argixerolls","colluvium & colluvium","tuff breccia & conglomerate, unspecified","lahar","VD","VD"
"417",2528924,"2r6fx",589726,"5057","Supan loam, 5 to 30 percent slopes","provisional","Fuches",5,5,30,"well","R022AI102CA","Loamy, isotic, mesic Lithic Dystroxerepts","colluvium & residuum","rhyolite","lahar","S","S"
"184",2076774,"2r6fx",589726,"5057","Supan loam, 5 to 30 percent slopes","provisional","Rock outcrop",5,5,45,NA,NA,NA,NA,NA,"lahar","NA","None"
"226",2405997,"2lp7l",551825,"5100","Mokelumne-Ultic Haploxeralfs-Mokelumne, wet complex, 1 to 12 percent slopes","provisional","Mokelumne",50,1,12,"well","R018XK104CA","Clayey, kaolinitic, thermic, shallow Ultic Haploxeralfs","colluvium & residuum","fanglomerate","hill","S","S-MD"
"227",2405998,"2lp7l",551825,"5100","Mokelumne-Ultic Haploxeralfs-Mokelumne, wet complex, 1 to 12 percent slopes","provisional","Ultic Haploxeralfs",30,1,12,"well","F018XI208CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","colluvium & slope alluvium & residuum","fanglomerate","hill","VD","None"
"229",2406000,"2lp7l",551825,"5100","Mokelumne-Ultic Haploxeralfs-Mokelumne, wet complex, 1 to 12 percent slopes","provisional","Mokelumne",15,1,5,"somewhat poorly","R018XI164CA","Clayey, kaolinitic, thermic, shallow Aquultic Haploxeralfs","slope alluvium & residuum","fanglomerate","hill","S","S-MD"
"228",2405999,"2lp7l",551825,"5100","Mokelumne-Ultic Haploxeralfs-Mokelumne, wet complex, 1 to 12 percent slopes","provisional","Red Bluff",5,1,12,"well","F018XI208CA","Fine-loamy, kaolinitic, thermic Ultic Palexeralfs","alluvium","fanglomerate","hill & terrace","VD","None"
"230",2406001,"2n7xp",543486,"5101","Hornitos-Red Bluff-Mokelumne complex, 3 to 25 percent slopes","provisional","Hornitos",48,3,25,"well","R018XK104CA","Loamy, mixed, active, thermic Lithic Dystroxerepts","residuum & residuum","sandstone, unspecified & siltstone, unspecified","hill","S","VS-S"
"232",2406003,"2n7xp",543486,"5101","Hornitos-Red Bluff-Mokelumne complex, 3 to 25 percent slopes","provisional","Red Bluff",25,3,25,"well","F018XI208CA","Fine-loamy, kaolinitic, thermic Ultic Palexeralfs","alluvium","fanglomerate","hill & terrace","VD","None"
"231",2406002,"2n7xp",543486,"5101","Hornitos-Red Bluff-Mokelumne complex, 3 to 25 percent slopes","provisional","Mokelumne",20,3,25,"well","R018XK104CA","Loamy, kaolinitic, thermic, shallow Ultic Haploxeralfs","colluvium & residuum","fanglomerate","hill","S","S-MD"
"233",2406004,"2n7xp",543486,"5101","Hornitos-Red Bluff-Mokelumne complex, 3 to 25 percent slopes","provisional","Ultic Haploxeralfs",4,3,25,"well","F018XI208CA","Fine-loamy, mixed, active, thermic Ultic Haploxeralfs","slope alluvium & colluvium & residuum","fanglomerate","hill","VD","None"
"254",2482900,"2n7xp",543486,"5101","Hornitos-Red Bluff-Mokelumne complex, 3 to 25 percent slopes","provisional","Mined land",3,3,15,NA,NA,NA,NA,NA,"low hill","NA","None"
"180",2074008,"2rx20",635375,"5201","Pardee cobbly loam, 2 to 15 percent slopes","provisional","Pardee",76,2,15,"well","R018XI107CA","Loamy-skeletal, mixed, superactive, thermic Lithic Mollic Haploxeralfs","alluvium & residuum & residuum","NA & conglomerate, unspecified & tuff, unspecified","ridge & eroded fan remnant","S","S"
"204",2331929,"2rx20",635375,"5201","Pardee cobbly loam, 2 to 15 percent slopes","provisional","Amador",10,2,15,"well","R018XI107CA","Loamy, mixed, superactive, thermic, shallow Typic Haploxerepts","residuum","tuff, acidic","ridge & eroded fan remnant","S","S"
"429",2528963,"2rx20",635375,"5201","Pardee cobbly loam, 2 to 15 percent slopes","provisional","Miltonhills",5,2,15,"well","F018XI207CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","eroded fan remnant sideslope","MD","MD"
"431",2528965,"2rx20",635375,"5201","Pardee cobbly loam, 2 to 15 percent slopes","provisional","Redding",5,0,8,"moderately well","R018XI107CA","Fine, mixed, active, thermic Abruptic Durixeralfs","alluvium","NA","eroded fan remnant","MD","S-MD"
"248",2482892,"2rx20",635375,"5201","Pardee cobbly loam, 2 to 15 percent slopes","provisional","Mined land",2,2,10,NA,NA,NA,NA,NA,"low hill","NA","None"
"172",2073954,"2rx20",635375,"5201","Pardee cobbly loam, 2 to 15 percent slopes","provisional","Rock outcrop",2,2,15,NA,NA,NA,NA,NA,"eroded fan remnant","NA","None"
"173",2073956,"2rx21",635377,"5202","Pardee-Amador complex, 15 to 40 percent slopes","provisional","Pardee",50,15,40,"well","R018XI107CA","Loamy-skeletal, mixed, superactive, thermic, shallow Lithic Mollic Haploxeralfs","alluvium & residuum & residuum","NA & tuff, unspecified & conglomerate, unspecified","eroded fan remnant sideslope","S","S"
"205",2331930,"2rx21",635377,"5202","Pardee-Amador complex, 15 to 40 percent slopes","provisional","Amador",40,15,40,"well","R018XI107CA","Loamy, mixed, superactive, thermic, shallow Typic Haploxerepts","residuum","tuff, acidic","eroded fan remnant sideslope","S","S"
"430",2528964,"2rx21",635377,"5202","Pardee-Amador complex, 15 to 40 percent slopes","provisional","Miltonhills",5,15,40,"well","F018XI207CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","eroded fan remnant sideslope","MD","MD"
"421",2528936,"2rx21",635377,"5202","Pardee-Amador complex, 15 to 40 percent slopes","provisional","Rock outcrop",5,15,40,NA,NA,NA,NA,NA,"eroded fan remnant sideslope","NA","None"
"318",2516891,"2277q",531727,"6029","Holland-Chawanakee-Rock outcrop complex, 45 to 90 percent slopes","provisional","Holland",50,45,90,"well","F022AI202CA","Coarse-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granitoid","canyon","VD","None"
"319",2516892,"2277q",531727,"6029","Holland-Chawanakee-Rock outcrop complex, 45 to 90 percent slopes","provisional","Chawanakee",25,45,90,"somewhat excessively","R018XI105CA","Loamy, mixed, superactive, mesic, shallow Typic Humixerepts","colluvium & residuum","granitoid","canyon","S","S"
"320",2516893,"2277q",531727,"6029","Holland-Chawanakee-Rock outcrop complex, 45 to 90 percent slopes","provisional","Rock outcrop",25,45,90,NA,NA,NA,NA,NA,"canyon","NA","None"
"326",2516918,"2x4cn",793490,"6033","Musick-Wukusick complex, 3 to 15 percent slopes, low precipitation","provisional","Musick",50,3,15,"well","F022AI202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","diorite","mountain slope","VD","None"
"327",2516919,"2x4cn",793490,"6033","Musick-Wukusick complex, 3 to 15 percent slopes, low precipitation","provisional","Wukusick",45,3,15,"well","F022AI202CA","Fine, mixed, subactive, mesic Ultic Palexeralfs","residuum","diorite","mountain slope","VD","None"
"328",2516920,"2x4cn",793490,"6033","Musick-Wukusick complex, 3 to 15 percent slopes, low precipitation","provisional","Humic Lithic Dystroxerepts",3,3,15,"somewhat excessively","R022AI103CA","Loamy, mixed, superactive, mesic Humic Lithic Dystroxerepts","colluvium & residuum","diorite","mountain slope","S","S"
"329",2516921,"2x4cn",793490,"6033","Musick-Wukusick complex, 3 to 15 percent slopes, low precipitation","provisional","Rock outcrop",2,3,15,NA,NA,NA,NA,NA,"mountain slope","NA","None"
"10",1730316,"2277r",531728,"6034","Musick-Wukusick complex, 3 to 15 percent slopes","approved","Musick",50,3,15,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","diorite","mountain slope","VD","None"
"108",1920036,"2277r",531728,"6034","Musick-Wukusick complex, 3 to 15 percent slopes","approved","Wukusick",45,3,15,"well","F022AG202CA","Fine, mixed, subactive, mesic Ultic Palexeralfs","residuum","diorite","mountain slope","VD","None"
"110",1920060,"2277r",531728,"6034","Musick-Wukusick complex, 3 to 15 percent slopes","approved","Humic Lithic Dystroxerepts",3,3,15,"somewhat excessively","R022AI103CA","Loamy, mixed, superactive, mesic Humic Lithic Dystroxerepts","colluvium & residuum","diorite","mountain slope","S","S"
"315",2516882,"2277r",531728,"6034","Musick-Wukusick complex, 3 to 15 percent slopes","approved","Rock outcrop",2,3,15,NA,NA,NA,NA,NA,"mountain slope","NA","None"
"330",2516922,"2x4cr",793491,"6036","Musick-Wukusick complex, 15 to 30 percent slopes, low precipitation","provisional","Musick",60,15,30,"well","F022AI202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granitoid & diorite","mountain slope","VD","None"
"331",2516923,"2x4cr",793491,"6036","Musick-Wukusick complex, 15 to 30 percent slopes, low precipitation","provisional","Wukusick",37,15,30,"well","F022AI202CA","Fine, mixed, subactive, mesic Ultic Palexeralfs","residuum","diorite","mountain slope","VD","None"
"334",2516927,"2x4cr",793491,"6036","Musick-Wukusick complex, 15 to 30 percent slopes, low precipitation","provisional","Rock outcrop",3,15,30,NA,NA,NA,NA,NA,"mountain slope","NA","None"
"332",2516924,"2277s",531729,"6037","Musick-Wukusick complex, 15 to 30 percent slopes","approved","Musick",60,15,30,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granitoid & diorite","mountain slope","VD","None"
"333",2516925,"2277s",531729,"6037","Musick-Wukusick complex, 15 to 30 percent slopes","approved","Wukusick",37,15,30,"well","F022AG202CA","Fine, mixed, subactive, mesic Ultic Palexeralfs","residuum","diorite","mountain slope","VD","None"
"314",2516881,"2277s",531729,"6037","Musick-Wukusick complex, 15 to 30 percent slopes","approved","Rock outcrop",3,15,30,NA,NA,NA,NA,NA,"mountain slope","NA","None"
"8",1710250,"21stt",527717,"6038","Musick-Wukusick complex, 30 to 60 percent slopes, low precipitation","approved","Musick",65,30,60,"well","F022AI202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granitoid & diorite","mountain slope","VD","VD"
"109",1920038,"21stt",527717,"6038","Musick-Wukusick complex, 30 to 60 percent slopes, low precipitation","approved","Wukusick",32,30,60,"well","F022AI202CA","Fine, mixed, subactive, mesic Ultic Palexeralfs","residuum","diorite","mountain slope","VD","None"
"66",1842243,"21stt",527717,"6038","Musick-Wukusick complex, 30 to 60 percent slopes, low precipitation","approved","Rock outcrop",3,30,60,NA,NA,NA,NA,NA,"mountain slope","NA","None"
"115",1953352,"2pbgf",557107,"6039","Holland-Wukusick-Mantree complex, 30 to 60 percent slopes","approved","Holland",60,30,60,"well","F022AG201CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granitoid","mountain slope","VD","VD"
"114",1953338,"2pbgf",557107,"6039","Holland-Wukusick-Mantree complex, 30 to 60 percent slopes","approved","Wukusick",20,30,60,"well","F022AG202CA","Fine, mixed, subactive, mesic Ultic Palexeralfs","residuum","diorite","mountain slope","VD","None"
"316",2516884,"2pbgf",557107,"6039","Holland-Wukusick-Mantree complex, 30 to 60 percent slopes","approved","Mantree",16,30,60,"well","F022AG201CA","Fine-loamy, isotic, mesic Andic Palexeralfs","colluvium & residuum","tuff breccia & diorite","mountain slope","VD","None"
"317",2516885,"2pbgf",557107,"6039","Holland-Wukusick-Mantree complex, 30 to 60 percent slopes","approved","Rock outcrop",4,30,60,NA,NA,NA,NA,NA,"mountain slope","NA","None"
"116",1953360,"2djcq",539607,"6041","Mantree medial loam, 3 to 8 percent slopes","approved","Mantree",70,3,8,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Typic Haploxerults","colluvium & residuum","tuff breccia & granodiorite","erosion remnant","VD","None"
"550",2635129,"2djcq",539607,"6041","Mantree medial loam, 3 to 8 percent slopes","approved","Holland",10,3,8,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granodiorite","mountain slope","D","D"
"547",2630325,"2djcq",539607,"6041","Mantree medial loam, 3 to 8 percent slopes","approved","Musick",10,3,8,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","diorite","mountain slope","VD","None"
"544",2630321,"2djcq",539607,"6041","Mantree medial loam, 3 to 8 percent slopes","approved","Redapple",10,3,8,"well","F022AG202CA","Fine, isotic, mesic Andic Palehumults","colluvium & residuum","tuff breccia","mountain slope","VD","MD"
"542",2630319,"2djcp",539608,"6042","Mantree medial loam, 8 to 15 percent slopes","approved","Mantree",70,8,15,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Typic Haploxerults","colluvium & residuum","tuff breccia & granodiorite","erosion remnant","VD","None"
"551",2635130,"2djcp",539608,"6042","Mantree medial loam, 8 to 15 percent slopes","approved","Holland",10,8,15,"well","F022AG202CA","Fine-loamy, mixed, semiactive, mesic Ultic Haploxeralfs","colluvium & residuum","granodiorite","mountain slope","D","D"
