STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro,Basin,Owner,Maintenance,Operator,Map,Collect,County Name,Basin Name,Agency Name,Hydro Area,Sensors,
SPR,SALINAS RIVER NEAR SPRECKELS,53,36.6310691833496,-121.67244720459,SALINAS,3,3301,700,999,5,29,0,MONTEREY,SALINAS R,USGS and DWR,CENTRAL COAST,"1,14,20,41,169",
SQL,SOQUEL CREEK,30,36.983,-121.95,SOQUEL,3,2901, , ,144,29,0,SANTA CRUZ,SAN LORENZO R,Santa Cruz County,CENTRAL COAST,"2",
STG,STONY GORGE RESERVOIR,800,39.583,-122.533,ELK CREEK,5,7251, , ,50,12,0,GLENN,STONY CR,US Bureau of Reclamation,SACRAMENTO RIVER,"2,4,6,14,15,16,25,30,31,32",
TBB,TRUCKEE R AT BOCA BRIDGE,5484,39.3851852416992,-120.087699890137,TRUCKEE,5,10501, , ,5,14,0,NEVADA,TRUCKEE R,USGS and DWR,SACRAMENTO RIVER,"1,14,20,25",
TBS,TUOLUMNE RIVER NEAR BASSO BRIDGE,140,37.65067,-120.49465,LA GRANGE,6,8601, , ,801,24,0,STANISLAUS,TUOLUMNE R,CA Dept of Fish and Game,SAN JOAQUIN RIVER,"25",
TEL,TUOLUMNE-ELEANOR CK,4500,37.969,-119.881,HETCHY HETCHY,6,8601, , ,3,25,0,TUOLUMNE,TUOLUMNE R,CAL FIRE,SAN JOAQUIN RIVER,"66",
TK2,TRUCKEE 2,6400,39.3,-120.194,TRUCKEE,8,10501, , ,54,14,0,PLACER,TRUCKEE R,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82",
TLG,TUOLUMNE R-LA GRANGE DAM,170,37.666,-120.441,LA GRANGE,6,8601, , ,203,24,0,STANISLAUS,TUOLUMNE R,Turlock Irrigation District,SAN JOAQUIN RIVER,"8,65,66",
TLM,TUOLUMNE-CHERRY CREEK,910,37.967777,-119.916389,SAN JOAQUIN,6,8601, , ,999,25,0,TUOLUMNE,TUOLUMNE R,None Specified,SAN JOAQUIN RIVER,"65,66",
TPP,TOM PAINE SLOUGH NR PESCADERO,10,37.7672843933105,-121.351028442383,TRACY,6,9001, , ,703,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/O & M,SAN JOAQUIN RIVER,"1,14,141,144",
TRV,NF OF MF TULE R CNL BL DOYLE SPRGS PUMP,5050,36.1708,-118.6947,SPRINGVILLE,7,9601, , ,61,32,0,TULARE,TULE R,Pacific Gas and Electric Company, Auberry,TULARE LAKE,"1,14",
TSG,TULE R NR SPRINGVILLE,680,36.1006,-118.8686,PORTERVILLE,7,9601, , ,56,32,0,TULARE,TULE R,US Army Corps of Engineers,TULARE LAKE,"1,14",
TTS,TUOLUMNE R AT TURLOCK LK ST REC CAMPGRD,110,37.63153,-120.5829,WATERFORD,6,8601, , ,801,24,0,STANISLAUS,TUOLUMNE R,CA Dept of Fish and Game,SAN JOAQUIN RIVER,"25",
UKH,UKIAH,633,39.15,-123.2,UKAIH,1,1601, , ,40,11,0,MENDOCINO,RUSSIAN R,National Weather Service,NORTH COAST,"2",
USL,U SAN LEANDRO,477,37.7644,-122.1016,OAKLAND,2,2101, , ,86,21,0,ALAMEDA,ALAMEDA CR,East Bay Municipal Utility District,SAN FRANCISCO BAY,"15",
UTI,UTICA RESERVOIR,6819,38.440277,-120.00222,BIG MEADOW,6,8501, , ,615,17,37,ALPINE,STANISLAUS R,Northern California Power Agency,SAN JOAQUIN RIVER,"6,15",
UWD,UPPER WOODCHUCK MEADOW,9100,37.038,-118.903,,7,9401, , ,999,26,0,FRESNO,KINGS R,None Specified,TULARE LAKE,"3,18,82",
VGL,VIRGINIA LAKES,9400,38.057,-119.247,BRIDGEPORT,8,10801, , ,1,19,0,MONO,WALKER R,CA Dept of Water Resources,NORTH LAHONTAN,"3,18,82",
VLC,VOLCANIC KNOB,10050,37.388,-118.903,LAKESHORE,6,9001,50,700,50,26,0,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"3,4,14,18,25,30,31,32,73,82",
VNO,SACRAMENTO R AT VINA EAST BANK O/F,185,39.9087371826172,-122.092468261719,CORNING,5,6501, , ,707,12,6,TEHAMA,SACRAMENTO R,CA Dept of Water Resources, NRO,SACRAMENTO RIVER,"1,20",
W3B,WILLOW CK NR 3RD BRIDGE,82,38.430408,-123.06781,JENNER,1,1601, , ,40,0,2,SONOMA,RUSSIAN R,National Weather Service,NORTH COAST,"1,25",
W75,SAN JOAQUIN R - MONITORING WELL75,120,36.9313,-120.4707,FIREBAUGH,6,9001, , ,50,30,0,SAN JOAQUIN,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"14,25,100,170",
W90,SAN JOAQUIN R - MONITORING WELL90,120,37.1284,-120.5848,EL NIDO,6,9001, , ,50,24,2,MERCED,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"14,25,100,170",
WBB,WEBBER LAKE,7000,39.485,-120.425,SIERRAVILLE,8,10501, , ,81,14,0,SIERRA,TRUCKEE R,Nevada Irrigation District,NORTH LAHONTAN,"3,18,82",
WCI,WEST CANAL AT CLIFTON COURT INTAKE,0,37.8316,-121.554,BYRON,6,9001, , ,704,23,0,CONTRA COSTA,SAN JOAQUIN R,CA Dept of Water Resources/NCRO,SAN JOAQUIN RIVER,"20,21,25",
WDL,WOODLAND 1 WNW,69,38.683,-121.8,WOODLAND,5,7101, , ,40,17,0,YOLO,SACTO VLY WEST,National Weather Service,SACRAMENTO RIVER,"2",
WLM,WILLIAMS,330,39.15,-122.15,COLUSA,5,7101, , ,999,12,0,COLUSA,SACTO VLY WEST,None Specified,SACRAMENTO RIVER,"2",
WPF,WEST PLAINFIELD,78,38.5719,-121.8425,DAVIS,5,8001, , ,56,17,0,YOLO,PUTAH CR,US Army Corps of Engineers,SACRAMENTO RIVER,"9,10,26",
WRS,WARM SPRINGS (USACE),440,38.723,-123.01,GEYSERVILLE,1,1601, , ,56,15,0,SONOMA,RUSSIAN R,US Army Corps of Engineers,NORTH COAST,"2,6,7,15,22,23,31,32,45,64,76,91,94,200",
WSP,WHISPERING PINES,2700,38.805833,-122.708333,MIDDLETOWN,1,8001,700,999,1,15,0,LAKE,PUTAH CR,CA Dept of Water Resources,NORTH COAST,"2,4,14,16,45",
WVC,WEAVER CREEK NEAR WEAVERVILLE,1740,40.6854782104492,-122.93424987793,WEAVERVILLE,5,901, , ,58,8,0,TRINITY,TRINITY R,US Geological Survey,SACRAMENTO RIVER,"1,4,14,20,25,27",
WVR,WEAVERVILLE RS,2050,40.733,-122.95,WEAVERVILLE,1,901, , ,44,8,0,TRINITY,TRINITY R,US Forest Service,NORTH COAST,"2,4,9,10,11,12,13,14,26,31,32,45,77,78",
YBS,YUBA SF BLW SPAULDING,4432,39.319,-120.658,GRASS VALLEY,5,7401, , ,60,14,0,NEVADA,YUBA R,Pacific Gas & Electric,SACRAMENTO RIVER,"65,66",
YR1,SAN JOAQUIN R - MONITORING WELL CCID Y-1,100,36.760104,-120.313258,MENDOTA,6,9001, , ,50,30,2,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"14,170,231",
POV,POVERTY,2066,37.443056,-121.770556,MILPITAS,2,2101, , ,182,23,2,SANTA CLARA,ALAMEDA CR,San Francisco PUC,SAN FRANCISCO BAY,"2,4,9,10,11,12,13,14,26,30,31,32,77,78",
PPT,PRISONERS POINT,0,38.066,-121.562,STOCKTON,5,8101, , ,705,17,0,SAN JOAQUIN,DELTA,CA Dept of Water Resources, DES,SACRAMENTO RIVER,"5,14,25,27,28,61,62,100",
PR4,PH-30 PIT RIVER BLW PIT NO 4 DAM,2360,40.975,-121.779,BURNEY,5,6701, , ,60,9,0,SHASTA,PIT R,Pacific Gas & Electric,SACRAMENTO RIVER,"20",
PRI,SAN JOAQUIN R AT PRISONERS PT NR TERMINO,0,38.0594,-121.5572,TERMINOUS,6,9001, , ,58,17,0,SAN JOAQUIN,SAN JOAQUIN R,US Geological Survey,SAN JOAQUIN RIVER,"1,20,21,25,100,221",
PRK,PARKS CREEK,6700,41.367,-122.55,WEED,1,401,999,700,33,3,0,SISKIYOU,SHASTA R,Mount Shasta Ranger District,NORTH COAST,"3,18,82",
STV,STRAWBERRY VALLEY,3808,39.567,-121.1,STRAWBERRY VALLEY,5,7301, , ,40,13,0,YUBA,FEATHER R,National Weather Service,SACRAMENTO RIVER,"2,45",
SUC,SUISUN CREEK AT CORDELIA RD,0,38.2242,-122.1068,FAIRFIELD,5,8101, , ,705,16,0,SOLANO,DELTA,CA Dept of Water Resources, DES,SACRAMENTO RIVER,"1,14",
SVR,SILVER LAKE MEADOWS,6450,40.497,-121.153,KIRKWOOD,8,10401, , ,20,9,0,LASSEN,SUSAN R,Eagle Lake Ranger District,NORTH LAHONTAN,"3,18,82",
SWA,SAN JOAQUIN R NR WASHINGTON RD,109,37.11532,-120.587,MERCED,6,9001, , ,706,24,0,MERCED,SAN JOAQUIN R,CA Dept of Water Resources/SCRO,SAN JOAQUIN RIVER,"1,14,20,25,27,28,61,62,100",
SWC,S. FK WILLOW CK BLW BROWN'S CK DIV DAM,2635,37.2929,-119.5006,NORTH FORK,6,9001, , ,60,25,0,MADERA,SAN JOAQUIN R,Pacific Gas & Electric,SAN JOAQUIN RIVER,"1,14",
EVA,EEL RIVER BELOW VAN ARSDALE DAM 24HR AVG,1400,39.3886,-123.115,POTTER VALLEY,1,1201, , ,60,11,0,MENDOCINO,EEL R,Pacific Gas & Electric,NORTH COAST,"20,41",
FCV,FRENCHMAN COVE,5800,39.897,-120.265,,5,7301, , ,2,14,0,PLUMAS,FEATHER R,CA Dept of Water Resources, Beckwourth,SACRAMENTO RIVER,"3,18,82",
FGC,FRIANT GOVERNMENT CAMP,410,36.983,-119.717,FRIANT,6,9001, , ,40,31,0,FRESNO,SAN JOAQUIN R,National Weather Service,SAN JOAQUIN RIVER,"2,45",
FHH,FALLS CK NR HETCH HETCHY,5350,37.9708,-119.7633,MATHER,6,8601, , ,275,25,0,TUOLUMNE,TUOLUMNE R,City and County of San Francisco,SAN JOAQUIN RIVER,"1,14,20,25,41",
FHL,FRESNO R ABV HENLEY LAKE,540,37.1506,-119.8561,MADERA,6,8901, , ,56,25,0,MADERA,FRESNO R,US Army Corps of Engineers,SAN JOAQUIN RIVER,"1,14,20",
BCD,BUTTE CREEK NR DURHAM,190,39.6780128479004,-121.777481079102,DURHAM,5,7201, , ,1,13,0,BUTTE,BUTTE CR,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,25,41",
BCL,BUCKS LAKE STORAGE,5168,39.897,-121.202,QUINCY,5,7301, , ,60,13,0,PLUMAS,FEATHER R,Pacific Gas & Electric,SACRAMENTO RIVER,"6,15",
BDH,BUTTE CK NR DURHAM BLW GORRILL DAM,133,39.6021694,-121.785075,DURHAM,5,7201, , ,707,12,2,BUTTE,BUTTE CR,CA Dept of Water Resources, NRO,SACRAMENTO RIVER,"1,14",
BDP,BRIDGEPORT RESERVOIR,6466,38.325,-119.211,BRIDGEPORT,8,10801, , ,5,19,0,MONO,WALKER R,USGS and DWR,NORTH LAHONTAN,"15",
BDY,BRANDY CREEK,1300,40.617,-122.567,WHISKEYTOWN,5,7001, , ,50,8,0,SHASTA,SACTO VLY NE,US Bureau of Reclamation,SACRAMENTO RIVER,"2,4,14,16,30,31,32,45",
BEV,SOUTH CANAL FROM BEAR RIVER,1980,39.133,-120.953,GRASS VALLEY,5,7501, , ,60,14,0,PLACER,BEAR R,Pacific Gas & Electric,SACRAMENTO RIVER,"69,110",
SBB,SACRAMENTO RIVER ABV BEND BRIDGE,186,40.289,-122.186,RED BLUFF,5,7001, , ,5,8,0,TEHAMA,SACTO VLY NE,USGS and DWR,SACRAMENTO RIVER,"65,66,72",
SBL,STRAWBERRY LAKE,5700,38.187,-119.997,,6,8501, , ,999,19,0,TUOLUMNE,STANISLAUS R,None Specified,SAN JOAQUIN RIVER,"3,18,82",
SBN,LAKE SABRINA,9065,37.217,-118.617,BISHOP,9,11001, , ,68,26,0,INYO,OWENS R,Southern California Edison Company, Big Creek,SOUTH LAHONTAN,"2",
SCC,SUCCESS DAM,692,36.061,-118.922,PORTERVILLE,7,9601, , ,56,32,0,TULARE,TULE R,US Army Corps of Engineers,TULARE LAKE,"2,6,7,8,15,22,23,31,32,45,64,65,66,76,91,93,94,200,203",
SCL,SAN JOAQUIN R NR CROWS LANDING,60,37.4318809509277,-121.013816833496,CROWS LANDING,6,9001, , ,58,23,0,STANISLAUS,SAN JOAQUIN R,US Geological Survey,SAN JOAQUIN RIVER,"1,14,20,25,41,100",
AMF,AMERICAN R AT FOLSOM,0,38.683,-121.183,FOLSOM,5,7701, , ,702,17,0,SACRAMENTO,AMERICAN R,CA Dept of Water Resources/Snow Surveys,SACRAMENTO RIVER,"41,65,66,72",
ANC,ANTIOCH (USBR),10,38.004,-121.804,ANTIOCH,5,8101, , ,50,17,0,CONTRA COSTA,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,"14,25,100,102",
ANH,SAN JOAQUIN RIVER AT ANTIOCH,10,38.0178298950195,-121.802963256836,ANTIOCH,5,9001, , ,705,999,0,CONTRA COSTA,SAN JOAQUIN R,CA Dept of Water Resources, DES,SACRAMENTO RIVER,"1,4,5,9,10,14,25,26,27,28,61,62,100,102,141,146",
DLV,DEL VALLE,703,37.614,-121.745,LIVERMORE,2,2101, , ,1,23,0,ALAMEDA,ALAMEDA CR,CA Dept of Water Resources,SAN FRANCISCO BAY,"7,15",
DNC,DONNER CREEK AT DONNER LAKE,5924,39.3235168457031,-120.234367370605,TRUCKEE,8,10501,999,999,58,14,0,NEVADA,TRUCKEE R,US Geological Survey,NORTH LAHONTAN,"1,7,14,20",
DNM,DUNSMUIR TREATMENT PLANT,2170,41.2,-122.267,DUNSMUIR,5,6501, , ,40,3,0,SISKIYOU,SACRAMENTO R,National Weather Service,SACRAMENTO RIVER,"2,45",
DNP,DON PEDRO RESERVOIR,830,37.702,-120.421,LA GRANGE,6,8601, , ,203,24,0,TUOLUMNE,TUOLUMNE R,Turlock Irrigation District,SAN JOAQUIN RIVER,"6,15,22,23,45,76,94,200",
DNV,DOWNIEVILLE,2920,39.5586,-120.8292,DOWNIEVILLE,5,7401,700,700,700,14,0,SIERRA,YUBA R,CA Dept of Water Resources/Flood Management,SACRAMENTO RIVER,"2,4,14,16,30,31,32,45",
DPK,DUNCAN PEAK,6929,39.1546,-120.5101,FORESTHILL,5,7701, , ,250,14,0,PLACER,AMERICAN R,UC Merced,SACRAMENTO RIVER,"2,9,10,12,14,18,26,30,31,32,77,103,105,106,108",
KRH,KERCKHOFF DAM,985,37.128,-119.524,FRIANT,6,9001, , ,50,25,0,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"15",
KSP,KAISER POINT,9200,37.3,-119.1,LAKESHORE,6,9001,50,700,50,25,0,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82",
130,SAN JOAQUIN R - MONITORING WELL130,130,36.9982,-120.5149,DOS PALOS,6,9001, , ,50,30,2,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"14,25,100,170",
8SM,8 STATION PRECIP INDEX (DWR-2),0,39.9,-120.9, ,5,6501, , ,700,14,0,PLUMAS,SACRAMENTO R,CA Dept of Water Resources/Flood Management,SACRAMENTO RIVER,"2,45",
AGW,A.G. WISHON (PG&E),1000,37.151,-119.505,NORTH FORK,6,9001, , ,60,25,0,MERCED,SAN JOAQUIN R,Pacific Gas & Electric,SAN JOAQUIN RIVER,"2,14,16,30,45",
ATN,LAKE SAN ANTONIO,779,35.798,-120.883,BRADLEY,3,3301, , ,127,37,0,MONTEREY,SALINAS R,Monterey County,CENTRAL COAST,"15",
ATP,ANTHONY PEAK,6200,39.842,-122.95,,5,7251, , ,21,12,0,TEHAMA,STONY CR,Covelo Ranger District,SACRAMENTO RIVER,"3,18,82",
ATS,ANTELOPE SPRINGS,4350,38.503,-120.467,,6,8301, , ,12,18,0,AMADOR,MOKELUMNE R,Amador Ranger District,SAN JOAQUIN RIVER,"3,18,82",
AWP,AMERICAN RIVER AT WILLIAM B POND PARK,45,38.591,-121.332,SACRAMENTO,5,7701, , ,58,17,0,SACRAMENTO,AMERICAN R,US Geological Survey,SACRAMENTO RIVER,"14,25",
BAK,BATES CREEK RANCH,440,37.0208,-121.93,SANTA CRUZ,3,2901, , ,144,23,0,SANTA CRUZ,SAN LORENZO R,Santa Cruz County,CENTRAL COAST,"16",
BAM,BALD MOUNTAIN (KERN CO),8290,36.02,-118.279,KERNVILLE,7,9701, , ,115,39,0,KERN,KERN R,Kern County,TULARE LAKE,"14,16",
BAT,BATTLE CREEK,200,40.3982086181641,-122.146385192871,RED BLUFF,5,6501,700,999,5,8,0,TEHAMA,SACRAMENTO R,USGS and DWR,SACRAMENTO RIVER,"1,14,20,41",
BBP,BLACK BUTTE POOL,518,39.8139,-122.3367,ORLAND,5,6501, , ,56,12,0,TEHAMA,SACRAMENTO R,US Army Corps of Engineers,SACRAMENTO RIVER,"14,43",
BGM,BIG MEADOW,6550,38.417,-120.113,ARNOLD,6,8501, , ,999,18,0,CALAVERAS,STANISLAUS R,None Specified,SAN JOAQUIN RIVER,"3,18,82",
BLD,BLOODS CREEK,7200,38.45,-120.033,TAMARACK,6,8501,50,700,50,18,0,ALPINE,STANISLAUS R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82",
BLI,BLACKLOCK ISLAND,0,38.1807,-121.9069,MONTEZUMA,5,6501, , ,703,17,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources/O & M,SACRAMENTO RIVER,"1",
BLK,BLUE LAKES,8000,38.613,-119.931,KIRKWOOD,6,8301, , ,54,19,0,ALPINE,MOKELUMNE R,Natural Resources Conservation Service,SAN JOAQUIN RIVER,"2,3,4,18,30,31,32,82",
BLO,BEN LOMOND (CDF),2630,37.132,-122.17,BEN LOMOND,2,2901, , ,3,22,0,SANTA CRUZ,SAN LORENZO R,CAL FIRE,SAN FRANCISCO BAY,"2,4,9,10,11,12,13,14,26,30,31,32,45,77,78",
BLP,BLIND POINT,0,38.0324516296387,-121.719039916992,RIO VISTA,5,8101, , ,1,999,0,CONTRA COSTA,DELTA,CA Dept of Water Resources,SACRAMENTO RIVER,"5,14,25,27,28,61,62,100",
BMH,BOGGS MT PRECIP AT HOBERGS,3550,38.8389,-122.7111,HOBERGS,5,7901, , ,58,15,2,LAKE,CACHE CR,US Geological Survey,SACRAMENTO RIVER,"14,16,45",
BMI,BEAR CYN RD PRECIP NR MIDDLETOWN       ,2220,38.7639,-122.6808,MIDDLETOWN,5,8001, , ,58,15,2,LAKE,PUTAH CR,US Geological Survey,SACRAMENTO RIVER,"14,16,45",
BMW,BIG MEADOWS (SCS),8700,39.458,-119.946,In State of Nevada,8,10501, , ,54,999,0,State of Nevada,TRUCKEE R,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,30,31,32,82",
BNF,NORTH FORK BATTLE CREEK NEAR MANTON,998,40.4243316650391,-121.986946105957,COTTONWOOD,5,6501, , ,1,9,0,TEHAMA,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,25",
BOB,BOB RABBIT,3848,35.568,-118.288,KERNVALE,7,9701, , ,115,39,0,KERN,KERN R,Kern County,TULARE LAKE,"14,16",
BSD,BEAR CK BLW EASTSIDE CANAL,95,37.2547,-120.7194,MADERA,6,9001, , ,706,24,0,MADERA,SAN JOAQUIN R,CA Dept of Water Resources/SCRO,SAN JOAQUIN RIVER,"1,14,20",
BSM,BEASORE MEADOWS,6800,37.442,-119.48,,6,9001, , ,999,25,0,MADERA,SAN JOAQUIN R,None Specified,SAN JOAQUIN RIVER,"3,18,82",
BTR,BATTLE RIDGE,3400,40.333,-121.75,PAYNES CREEK,5,7101, , ,50,9,0,TEHAMA,SACTO VLY WEST,US Bureau of Reclamation,SACRAMENTO RIVER,"2,4,14,16,30,31,32,45",
BTT,BATTERSON,3160,37.383,-119.617,MADERA,6,9001, , ,44,25,0,MADERA,SAN JOAQUIN R,US Forest Service,SAN JOAQUIN RIVER,"2,4,9,10,11,12,13,14,26,30,31,32,77,78",
BUL,NEW BULLARDS BAR,1965,39.393,-121.14,DOBBINS,5,7401,83,1,83,13,0,YUBA,YUBA R,Yuba County Water Agency,SACRAMENTO RIVER,"6,7,15,22,23,45,76,94,159,200",
BUP,BUCKS CREEK POWERHOUSE,1760,39.917,-121.333,PULGA,5,7301, , ,60,13,0,PLUMAS,FEATHER R,Pacific Gas & Electric,SACRAMENTO RIVER,"2,4,12,14,16,30,31,32,45",
BUX,NEW BULLARDS BAR AUX,1965,39.393,-121.14,DOBBINS,5,7401, , ,83,13,24,YUBA,YUBA R,Yuba County Water Agency,SACRAMENTO RIVER,"6,15,23,76",
BV1,BEAR VALLEY RIDGE 1,6700,38.618,-120.228,BEAR VALLEY,6,8301, , ,67,18,0,AMADOR,MOKELUMNE R,Pacific Gas and Electric Company, Angels Camp,SAN JOAQUIN RIVER,"3,18,82",
BVL,BRIDGEVILLE 4NNW,2100,40.533,-123.817,SCOTIA,1,1201, , ,40,7,0,HUMBOLDT,EEL R,National Weather Service,NORTH COAST,"2",
BWV,BROWNS VALLEY (CORRALITOS 4NW),360,37.025,-121.777,CORRALITOS,3,3201, , ,144,23,0,SANTA CRUZ,PAJARO R,Santa Cruz County,CENTRAL COAST,"16",
BYC,BULLY CHOOP,6100,40.55,-122.758,LEWISTON,5,6901, , ,26,8,0,SHASTA,COTTONWOOD CR,Hayfork Ranger District,SACRAMENTO RIVER,"3,18",
BYM,BLUE CANYON (DWR-2),5280,39.283,-120.7,BLUE CANYON,5,7701, , ,1,14,0,PLACER,AMERICAN R,CA Dept of Water Resources,SACRAMENTO RIVER,"2,45",
CAR,CARPENTER RIDGE,4812,40.069,-121.582,PARADISE,5,7201, , ,3,9,0,BUTTE,BUTTE CR,CAL FIRE,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14,26,30,31,32,77,78",
CF1,CFA RAWS NR IONE,4266,39.8286,-121.4717,PARADISE,5,7301, , ,3,13,2,BUTTE,FEATHER R,CAL FIRE,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14,17,26,77,78",
CHB,CHABOT,250,37.73,-122.122,SAN  LEANDRO,2,2101, , ,86,22,0,ALAMEDA,ALAMEDA CR,East Bay Municipal Utility District,SAN FRANCISCO BAY,"15",
CHF,CHESTER FLAT,4600,40.283,-121.25,,5,7301, , ,20,9,0,PLUMAS,FEATHER R,Eagle Lake Ranger District,SACRAMENTO RIVER,"3,18,82",
CHP,CHAGOOPA PLATEAU,10300,36.497142791748,-118.446716308594,HAMMOND,7,9701,702,702,702,999,0,TULARE,KERN R,CA Dept of Water Resources/Snow Surveys,TULARE LAKE,"3,4,14,18,30,31,32,45,82",
CHY,CHERRY LAKE,4715,37.976,-119.913,HETCH HETCHY,6,8601, , ,94,25,0,TUOLUMNE,TUOLUMNE R,Hetch Hetchy Water and Power,SAN JOAQUIN RIVER,"6,15,66",
CKT,CHILKOOT LAKE,7450,37.408,-119.48,,6,9001, , ,35,25,0,MADERA,SAN JOAQUIN R,Bass Lake Ranger District,SAN JOAQUIN RIVER,"3,18,82",
CLG,COLGATE PH,600,39.333,-121.183,GRASS VALLEY,5,7401, , ,60,13,0,YUBA,YUBA R,Pacific Gas & Electric,SACRAMENTO RIVER,"2,45",
CLM,CLOVER MEADOW,7000,37.528,-119.275,,6,9001, , ,35,25,0,MADERA,SAN JOAQUIN R,Bass Lake Ranger District,SAN JOAQUIN RIVER,"3,18,82",
CLW,SACTO R AT COLUSA WEIR (CREST 61.8'),70,39.2368202209473,-121.994758605957,COLUSA,5,6501,999,999,1,13,0,COLUSA,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,169",
CMC,CHAPMAN CREEK,5850,39.633,-120.533,,5,7401, , ,38,14,0,SIERRA,YUBA R,Yuba River Ranger District,SACRAMENTO RIVER,"3,18,82",
CMK,N FK CALAVERAS R NR MOKELUMNE HILL,920,38.2819,-120.6701,MOKELUMNE HILL,6,8401, , ,58,17,2,CALAVERAS,CALAVERAS R,US Geological Survey,SAN JOAQUIN RIVER,"1,14,16,45",
CML,CARMEL RIVER NEAR CARMEL,45,36.539,-121.874,CARMEL,3,3601, , ,58,29,0,MONTEREY,CARMEL R,US Geological Survey,CENTRAL COAST,"1,14,25",
CMM,CAMPITO MOUNTAIN,10200,37.497,-118.173,BISHOP,9,11001, , ,999,26,0,INYO,OWENS R,None Specified,SOUTH LAHONTAN,"3,18,82",
CMT,CASTLE MOUNTAIN,4000,35.942,-120.328,PARKFIELD,3,3301, , ,703,37,0,FRESNO,SALINAS R,CA Dept of Water Resources/O & M,CENTRAL COAST,"14,16",
CPD,CAMP PARDEE,658,38.25,-120.867,,6,8301, , ,86,18,0,CALAVERAS,MOKELUMNE R,East Bay Municipal Utility District,SAN JOAQUIN RIVER,"2",
CPF,CARPENTER FLAT,5300,39.303,-120.643,,5,7701, , ,63,14,0,PLACER,AMERICAN R,Pacific Gas and Electric Company, Auburn,SACRAMENTO RIVER,"3,18,82",
CRC,CROOKED CREEK (LONG VALLEY),6800,37.583,-118.7,MAMMOTH LAKES,9,11001, , ,71,26,0,MONO,OWENS R,City of Los Angeles; Dept of Water and Power,SOUTH LAHONTAN,"2",
CRI,CAHILL RIDGE,1044,37.5102,-122.374,SAN MATEO,2,2650, , ,182,22,2,SAN MATEO,SAN MATEO CREEK,San Francisco PUC,SAN FRANCISCO BAY,"14,16,45",
CYW,COUNTY LINE RAWS NR WILBUR SPRINGS,2085,39.0189,-122.4119,WILBUR SPRINGS,5,7901, , ,59,11,2,COLUSA,CACHE CR,US Bureau of Land Management,SACRAMENTO RIVER,"2,4,9,10,12,14,26,45,77,78",
DBL,MOUNT DIABLO PEAK,3690,37.88,-121.918,WALNUT CREEK,2,2001, , ,107,23,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,"16",
DCH,DEER CREEK AT HWY 32,50,40.2646903991699,-121.451057434082,CHESTER,5,6501, , ,1,9,0,TEHAMA,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,25",
DCV,DEER CREEK NR VINA,479,40.014045715332,-121.948318481445,VINA,5,6501, , ,58,9,0,TEHAMA,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,"1,14,20,25,27",
DPU,DEL PUERTO CK,50,37.53947,-121.12206,MODESTO,6,9001, , ,233,23,2,STANISLAUS,SAN JOAQUIN R,Patterson ID / SJVDA,SAN JOAQUIN RIVER,"1,14,25,100",
DVR,DAVIS RANCH,550,40.35,-122.45,COTTONWOOD,5,6901, , ,50,8,0,TEHAMA,COTTONWOOD CR,US Bureau of Reclamation,SACRAMENTO RIVER,"2,4,14,16,45",
DVS,DAVIS 2WSW,60,38.533,-121.767,,5,7101, , ,40,17,0,SACRAMENTO,SACTO VLY WEST,National Weather Service,SACRAMENTO RIVER,"2",
ECK,ELEANOR CK NR HETCH HETCHY,4500,37.9690895080566,-119.882125854492,MATHER,6,8601, , ,58,25,0,TUOLUMNE,TUOLUMNE R,US Geological Survey,SAN JOAQUIN RIVER,"1,14,20,25",
EDC,EL DORADO CANAL,3840,38.764,-120.327,KYBURZ,5,7701, , ,60,18,0,EL DORADO,AMERICAN R,Pacific Gas & Electric,SACRAMENTO RIVER,"66",
